ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
492,423784.368221,563873.752475,423830.309444,563816.527903,3.1081676,5,476,73.384247,475,5,73.384247,1458447,1560.231,8597,47370.172,1.31832919465224,1.11094616633308
493,423764.540838,563900.656586,423784.368221,563873.752475,2.0566521,4,477,33.420895,476,4,33.420895,1491313,1559.9067,8597,47380.02,1.32037365749982,1.11071526444569
494,423743.803549,563932.663926,423764.540838,563900.656586,1.8842602,4,478,38.137974,477,4,38.137974,1516423,1559.5486,8597,47390.898,1.32189640048394,1.11046032412432
495,423731.13121,563949.100636,423743.803549,563932.663926,2.3403873,4,479,20.754604,478,4,20.754604,1490059,1559.0945,8597,47404.703,1.32023165649584,1.11013695414066
496,423711.08507,563975.113534,423731.13121,563949.100636,2.4617114,4,480,32.840809,479,4,32.840809,1498059,1559.0938,8597,47404.723,1.32072893722977,1.11013648579487
497,423696.831124,563994.112677,423711.08507,563975.113534,1.5422986,4,481,23.75168,480,4,23.751682,1632106,1559.6733,8597,47387.109,1.32873472651867,1.11054911106835
498,423650.608261,564055.710473,423696.831124,563994.112677,2.9665768,5,482,77.011955,481,5,77.011955,1636890,1559.6718,8597,47387.156,1.32900646429482,1.11054800963898
499,423830.309444,563816.527903,423876.310553,563844.403172,3.0058482,5,483,53.787849,482,5,53.787849,3429444,1637.5618,8597,45133.203,1.40405816087614,1.16600634042282
500,423876.310553,563844.403172,423919.345982,563866.36513,2.6408162,4,484,48.31538,483,4,48.31538,2909426,1630.8954,8597,45317.688,1.38818639942401,1.16125982319806
501,423919.345982,563866.36513,423970.787121,563856.756313,1.5853844,4,485,52.330872,484,4,52.330872,2956470,1631.8622,8597,45290.84,1.3897592839216,1.16194817711301
509,422619.332535,564512.398862,422626.028396,564545.828582,4.0683813,5,493,34.093704,492,5,34.093704,2616732,1554.4733,8597,47545.629,1.37215523949412,1.1068466289722
510,422626.028396,564545.828582,422648.98406,564715.560808,4.0959654,6,494,171.27753,493,6,171.27753,2598993,1550.9109,8597,47654.84,1.37123151886086,1.10431016563983
511,422648.98406,564715.560808,422657.160788,564852.702034,4.1132312,6,495,137.38477,494,6,137.38477,2581972,1546.9331,8597,47777.379,1.37029486731553,1.10147795923155
512,422657.160788,564852.702034,422658.923828,565011.666938,4.0217228,6,496,158.97469,495,6,158.97469,2684084,1544.7535,8597,47844.789,1.37371495949293,1.09992611780638
513,422658.588012,565146.061249,422658.923828,565011.666938,4.0548515,6,497,134.39473,496,6,134.39473,2628766,1544.0798,8597,47865.664,1.37172686230215,1.09944644205472
514,422656.50384,565177.755182,422658.588012,565146.061249,4.0497727,6,498,31.762386,497,6,31.762386,2613802,1540.7358,8597,47969.551,1.37092132121096,1.09706548521375
515,422653.127591,565213.159457,422656.50384,565177.755182,4.0407019,6,499,35.564896,498,6,35.564896,2627102,1539.7626,8597,47999.875,1.37131181769249,1.0963724411655
516,422650.840877,565245.698123,422653.127591,565213.159457,3.0220962,5,500,32.618919,499,5,32.618919,2601760,1538.1287,8597,48050.863,1.37027759413636,1.09520910074122
517,422634.436241,565354.060574,422650.840877,565245.698123,2.0127144,4,501,109.59714,500,4,109.59714,2564346,1533.0093,8597,48211.324,1.36851074571088,1.0915640845313
518,422620.54396,565424.488328,422634.436241,565354.060574,2.053925,4,502,71.784843,501,4,71.784843,2510103,1530.308,8597,48296.43,1.36630464430514,1.08964065445338
519,422602.553155,565516.117194,422620.54396,565424.488328,2.0229735,4,503,93.378357,502,4,93.378357,2503927,1530.2886,8597,48297.039,1.36607463299586,1.08962691523264
520,422596.731252,565548.363695,422602.553155,565516.117194,2.9341521,5,504,32.767841,503,5,32.767841,2487489,1529.554,8597,48320.238,1.36540313902711,1.08910379677098
521,422593.842585,565560.007919,422596.731252,565548.363695,4.2540722,6,505,11.997181,504,6,11.997181,249441,1521.3098,8597,48582.09,1.15159844486846,1.08323389147087
522,421825.757086,564092.115358,421828.299626,564105.24793,2.8641756,5,506,13.376432,505,5,13.376432,3413555,1441.1287,8597,51285.086,1.38708793119511,1.02614394731397
523,421828.299626,564105.24793,421831.217012,564120.307514,2.2081351,4,507,15.339563,506,4,15.339563,3433361,1441.1198,8597,51285.406,1.38762058414935,1.02613754484426
524,421831.217012,564120.307514,421841.460486,564178.858582,1.9847186,4,508,59.440361,507,4,59.440361,3496410,1442.4747,8597,51237.23,1.38941886707202,1.02710233690614
525,421841.460486,564178.858582,421844.482062,564194.864588,1.9987125,4,509,16.288712,508,4,16.288712,3514541,1443.77,8597,51191.262,1.3900108614771,1.02802460359473
526,421844.482062,564194.864588,421855.061411,564246.718105,3.0425417,5,510,52.921734,509,5,52.921734,3588012,1445.0614,8597,51145.516,1.39203364300071,1.02894406200041
527,421855.061411,564246.718105,421863.146667,564287.342227,2.9989195,5,511,41.420895,510,5,41.420895,3581422,1445.4531,8597,51131.652,1.39189889263975,1.02922304227891
528,421863.146667,564287.342227,421878.064937,564358.669138,1.9524093,4,512,72.870316,511,4,72.870316,3601373,1446.0728,8597,51109.746,1.39246629407849,1.02966415732053
